Infinitive,Präteritum,Perfekt,du-Form
befehlen,ich befahl,ich habe befohlen,du befiehlst
beissen,ich biss,ich habe gebissen,du beisst
belügen,ich belog,ich habe belogen,du belügst
biegen,ich bog,ich habe gebogen,du biegst
binden,ich band,ich habe gebunden,du bindest
bitten,ich bat,ich habe gebeten,du bittest
blasen,ich blies,ich habe gebasen,du bläst
bleiben,ich blieb,ich bin geblieben,du bleibst
brechen,ich brach,ich habe gebrochen,du brichst
brennen,ich brannte,ich habe gebrannt,du brennst
bringen,ich brachte,ich habe gebracht,du bringst
denken,ich dachte,ich habe gedacht,du denkst
dürfen,ich durfte,ich habe gedurft,du darfst
essen,ich ass,ich habe gegessen,du isst
fahren,ich fuhr,ich bin gefahren,du fährst
fallen,ich fiel,ich bin gefallen,du fällst
fangen,ich fing,ich habe gefangen,du fängst
finden,ich fand,ich habe gefunden,du findest
fliegen,ich flog,ich bin geflogen,du fliegst
fliehen,ich floh,ich bin geflohen,du fliehst
fliessen,ich floss,ich bin geflossen,du fliesst
fressen,ich frass,ich habe gefressen,du frisst
frieren,ich fror,ich habe gefroren,du frierst
geben,ich gab,ich habe gegeben,du gibst
gehen,ich ging,ich bin gegangen,du gehst
geschehen,es geschah,es ist geschehen,es geschieht
gewinnen,ich gewann,ich habe gewonnen,du gewinnst
giessen,ich goss,ich habe gegossen,du giesst
graben,ich grub,ich habe gegraben,du gräbst
greifen,ich griff,ich habe gegriffen,du greifst
haben,ich hatte,ich habe gehabt,du hast
halten,ich hielt,ich habe gehalten,du hältst
hauen,ich haute,ich habe gehauen,du haust
heissen,ich hiess,ich habe geheissen,du heisst
helfen,ich half,ich habe geholfen,du hilfst
kennen,ich kannte,ich habe gekannt,du kennst
klingen,ich klang,ich habe geklungen,du klingst
kommen,ich kam,ich bin gekommen,du kommst
können,ich konnte,ich habe gekonnt,du kannst
kriechen,ich kroch,ich bin gekrochen,du kriechst
lassen,ich liess,ich habe gelassen,du lässt
laufen,ich lief,ich bin gelaufen,du läufst
lesen,ich las,ich habe gelesen,du liest
liegen,ich lag,ich bin/habe gelegen,du liegst
lügen,ich log,ich habe gelogen,du lügst
messen,ich mass,ich habe gemessen,du misst
mögen,ich mochte,ich habe gemocht,du magst
müssen,ich musste,ich habe gemusst,du musst
nehmen,ich nahm,ich habe genommen,du nimmst
pfeifen,ich pfiff,ich habe gepfiffen,du pfeifst
raten,ich riet,ich habe geraten,du rätst
reissen,ich riss,ich habe gerissen,du reisst
reiten,ich ritt,ich bin geritten,du reitest
rennen,ich rannte,ich bin gerannt,du rennst
riechen,ich roch,ich habe gerochen,du riechst
rufen,ich rief,ich habe gerufen,du rufst
schieben,ich schob,ich habe geschoben,du schiebst
schiessen,ich schoss,ich habe geschossen,du schiesst
schlafen,ich schlief,ich habe geschlafen,du schläfst
schlagen,ich schlug,ich habe geschlagen,du schlägst
schleichen,ich schlich,ich bin geschlichen,du schleichst
schliessen,ich schloss,ich habe geschlossen,du schliesst
schneiden,ich schnitt,ich habe geschnitten,du schneidest
schreiben,ich schrieb,ich habe geschrieben,du schreibst
schreien,ich schrie,ich habe geschrien,du schreist
schweigen,ich schwieg,ich habe geschwiegen,du schweigst
schwimmen,ich schwamm,ich bin geschwommen,du schwimmst
schwören,ich schwor,ich habe geschworen,du schwörst
sehen,ich sah,ich habe gesehen,du siehst
sein,ich war,ich bin gewesen,du bist
singen,ich sang,ich habe gesungen,du singst
sinken,ich sank,ich bin gesunken,du sinkst
sitzen,ich sass,ich bin/habe gesessen,du sitzt
sprechen,ich sprach,ich habe gesprochen,du sprichst
springen,ich sprang,ich bin gesprungen,du springst
stechen,ich stach,ich habe gestochen,du stichst
stehen,ich stand,ich bin/habe gestanden,du stehst
stehlen,ich stahl,ich habe gestohlen,du stiehlst
steigen,ich stieg,ich bin gestiegen,du steigst
sterben,ich starb,ich bin gestorben,du stirbst
stinken,ich stank,ich habe gestunken,du stinkst
stossen,ich stiess,ich habe gestossen,du stösst
streichen,ich strich,ich habe gestrichen,du streichst
streiten,ich stritt,ich habe gestritten,du streitest
tragen,ich trug,ich habe getragen,du trägst
treffen,ich traf,ich habe getroffen,du triffst
trinken,ich trank,ich habe getrunken,du trinkst
tun,ich tat,ich habe getan,du tust
vergessen,ich vergass,ich habe vergessen,du vergisst
verlieren,ich verlor,ich habe verloren,du verlierst
verzeihen,ich verzieh,ich habe verziehen,du verzeihst
wachsen,ich wuchs,ich bin gewachsen,du wächst
waschen,ich wusch,ich habe gewaschen,du wäschst
werden,ich wurde,ich bin geworden,du wirst
werfen,ich warf,ich habe geworfen,du wirfst
wissen,ich wusste,ich habe gewusst,du weisst
ziehen,ich zog,ich habe gezogen,du ziehst
