Base form,Past simple,Past participle,Translation
be,was/were,been,sein
become,became,become,werden
begin,began,begun,beginnen
break,broke,broken,(zer)brechen
bring,brought,brought,bringen
buy,bought,bought,kaufen
catch,caught,caught,fangen
choose,chose,chosen,(aus)wählen
come,came,come,kommen
cost,cost,cost,kosten
cut,cut,cut,schneiden
do,did,done,"tun, machen"
draw,drew,drawn,"zeichnen, ziehen"
dream,dreamt/dreamed,dreamt/dreamed,träumen
drink,drank,drunk,trinken
drive,drove,driven,"fahren, treiben"
eat,ate,eaten,essen
fall,fell,fallen,fallen
feel,felt,felt,"fühlen, spüren"
find,found,found,finden
fly,flew,flown,fliegen
forget,forgot,forgotten,vergessen
get,got,got/gotten (AmE),"werden, bekommen"
give,gave,given,geben
go,went,gone,gehen
grow,grew,grown,wachsen
have,had,had,haben
hear,heard,heard,hören
hit,hit,hit,"schlagen, treffen"
keep,kept,kept,"behalten, (etw.) weitermachen"
know,knew,known,wissen
lead,led,led,führen
learn,learnt/learned,learnt/learned,lernen
lose,lost,lost,verlieren
make,made,made,"machen, erschaffen"
mean,meant,meant,"meinen, die Absicht haben"
meet,met,met,treffen
put,put,put,"(hin)stellen, legen, platzieren"
read,read,read,lesen
run,ran,run,rennen
say,said,said,sagen
see,saw,seen,sehen
sell,sold,sold,verkaufen
send,sent,sent,"schicken, senden"
set,set,set,"setzen, einstellen"
show,showed,shown,zeigen
sing,sang,sung,singen
sit,sat,sat,sitzen
sleep,slept,slept,schlafen
speak,spoke,spoken,sprechen
stand,stood,stood,stehen
steal,stole,stolen,stehlen
swim,swam,swum,schwimmen
take,took,taken,nehmen
teach,taught,taught,lehren
tell,told,told,"sagen, erzählen"
think,thought,thought,denken
throw,threw,thrown,werfen
understand,understood,understood,verstehen
win,won,won,gewinnen
write,wrote,written,schreiben
